text,id,Brand
RT @McrSoup: Help @StAnnsHospice win a £2k grant from @Starbucks by giving them a cheer! Simply tweet using the hashtag #CheerforGood &amp; tag…,159,Starbucks
I met a family that we adopted for Christmas this year. Teaching my family to do for others  @Starbucks #GiveGood,160,Starbucks
RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…,161,Starbucks
Help @StAnnsHospice win a £2k grant from @Starbucks by giving them a cheer! Simply tweet using the hashtag… https://t.co/qDCeOeukAu,162,Starbucks
@Ember_Tech @ddlovato @Starbucks Nice! So When is the commercial she shot for Ember coming out? <ed><U+00A0><U+00BD><ed><U+00B8><U+008C>,163,Starbucks
RT @Starbucks: @blobyblo Your daughter is a superhero too - PUNder woman!,164,Starbucks
"RT @alexis716: Hey @Starbucks, thanks for being amazing.",165,Starbucks
I’ve been in the @Starbucks drive thru for almost 30 minutes now this is not cool :(,166,Starbucks
RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…,167,Starbucks
@Starbucks If you could at least replace it with more vegan food options that would be cool,168,Starbucks
"@niconilla @Starbucks Giving someone a Propel is sign language for ""You are definitely liked.""",169,Starbucks
"@Starbucks I’m vegan and not really a fan of the almond butter, and the hazelnut is waaaay too sweet :/",170,Starbucks
"RT @justcatchmedemi: BrennaDemands: After an emotional vigil for #SandyHook last night, ran into @ddlovato in Chicago at @Starbucks! She sa…",171,Starbucks
@Starbucks Want to continue to help the earth? Pick up a reusable cup for someone else. Save resources! Use your ow… https://t.co/UlJQgguBX3,172,Starbucks
Do a good deed for someone #givegood @Starbucks,173,Starbucks
"I'm at @Starbucks in Al Zour, Al Ahmadi https://t.co/MNkTBc8voI",174,Starbucks
"@Ember_Tech @ddlovato @Starbucks wow, great job @ember_tech!! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",175,Starbucks
"""As  soon as we were alerted of the situation in this specific store last week, we took swift action to ensure our… https://t.co/Jmd4ACDuUr",176,Starbucks
@Starbucks bring back the vanilla bean cupcakes,177,Starbucks
@PeteHegseth @EboniKWilliams @Starbucks @BattleCoffee @foxandfriends Eboni thinks she is smarter and better than ev… https://t.co/sDCQKpDt6R,178,Starbucks
"I'm at @Starbucks in Al Zour, Al Ahmadi w/ @fatima_kmal https://t.co/3Otx1zbxA0",179,Starbucks
@djrottenrobbie @Starbucks @starbuckshelp the third piece is a rare piece and here are how many there are. https://t.co/YvPKEclyoJ,180,Starbucks
@Starbucks cup colored by my 10 year old daughter. https://t.co/xxQ3Xz4cxC,181,Starbucks
"@Starbucks This is NOT peach citrus, right?! https://t.co/8W9Qfj72R2",182,Starbucks
One of our libraries made it indoors for the winter at the #Ferguson @Starbucks https://t.co/xr2rsgjtT2,183,Starbucks
I'm at @Starbucks in Amman https://t.co/Rf0IVyK6jj,184,Starbucks
@Starbucks thanks for the Pup Cup! Now even my dog wants #Starbucksforlife https://t.co/6Jjseacuzf,185,Starbucks
@ifosterorg @Starbucks @ifosterorg do you have pick up locations for physical gifts set up?,186,Starbucks
RT @emmaloujenkin: @Starbucks how can  I make a formal complaint about your branch in chiverton Cornwall?,187,Starbucks
"RT @Starbucks: @bst_wrst_thng #whatsPetedrinking? We have some thoughts. 
<U+2705>Iced Coffee with Milk
<U+2705>Iced Caramel Macchiato
<U+2705>Vanilla Sweet Cre…",188,Starbucks
RT @SCDiet: When someone tries to cut you in line at @Starbucks. https://t.co/7tGarqUxQc,189,Starbucks
"RT @HarveyJulianG: #CheerForGood with the handle @TheSCT or retweet to help The Sick Children’s Trust win £2,000! @Starbucks https://t.co/x…",190,Starbucks
@ksywy @SharonElemS @FCSchoolsGA @Starbucks @7Mindsets They look awesome!!,191,Starbucks
@kris_wallace4 @Starbucks Oh I will!!!,192,Starbucks
