"word","n","Brand"
"coast",2,"DunkinDonuts"
"coconut",2,"DunkinDonuts"
"columbus",2,"DunkinDonuts"
"commodity",2,"DunkinDonuts"
"completely",2,"DunkinDonuts"
"confirm",2,"DunkinDonuts"
"cool",2,"DunkinDonuts"
"coral",2,"DunkinDonuts"
"counting",2,"DunkinDonuts"
"coupon",2,"DunkinDonuts"
"creeping",2,"DunkinDonuts"
"ct",2,"DunkinDonuts"
"cubes",2,"DunkinDonuts"
"culture",2,"DunkinDonuts"
"cutting",2,"DunkinDonuts"
"daughters",2,"DunkinDonuts"
"davidortiz",2,"DunkinDonuts"
"dc",2,"DunkinDonuts"
"dick",2,"DunkinDonuts"
"difficult",2,"DunkinDonuts"
"discontinuing",2,"DunkinDonuts"
"discounts",2,"DunkinDonuts"
"disgusting",2,"DunkinDonuts"
"dissapointed",2,"DunkinDonuts"
"dnd",2,"DunkinDonuts"
"door",2,"DunkinDonuts"
"doritedonuts",2,"DunkinDonuts"
"dozen",2,"DunkinDonuts"
"dream",2,"DunkinDonuts"
"drinker",2,"DunkinDonuts"
"dropping",2,"DunkinDonuts"
"dunkindonut",2,"DunkinDonuts"
"dunkindonutsctr",2,"DunkinDonuts"
"dunkinnytri",2,"DunkinDonuts"
"dunkinphilly",2,"DunkinDonuts"
"dunkins",2,"DunkinDonuts"
"dunks",2,"DunkinDonuts"
"east",2,"DunkinDonuts"
"easy",2,"DunkinDonuts"
"edison",2,"DunkinDonuts"
"error",2,"DunkinDonuts"
"essentially",2,"DunkinDonuts"
"establishments",2,"DunkinDonuts"
"ewrairport",2,"DunkinDonuts"
"factored",2,"DunkinDonuts"
"fail",2,"DunkinDonuts"
"fckksasha",2,"DunkinDonuts"
"federal",2,"DunkinDonuts"
"fill",2,"DunkinDonuts"
"filled",2,"DunkinDonuts"
"flavored",2,"DunkinDonuts"
"fo",2,"DunkinDonuts"
"followfriday",2,"DunkinDonuts"
"forever",2,"DunkinDonuts"
"fort",2,"DunkinDonuts"
"forward",2,"DunkinDonuts"
"frozen",2,"DunkinDonuts"
"ftw",2,"DunkinDonuts"
"gallon",2,"DunkinDonuts"
"garbage",2,"DunkinDonuts"
"gas",2,"DunkinDonuts"
"gettybossports",2,"DunkinDonuts"
"goal",2,"DunkinDonuts"
"god",2,"DunkinDonuts"
"gold",2,"DunkinDonuts"
"grange",2,"DunkinDonuts"
"green",2,"DunkinDonuts"
"ha",2,"DunkinDonuts"
"hair",2,"DunkinDonuts"
"halescorners",2,"DunkinDonuts"
"handed",2,"DunkinDonuts"
"hanukkah",2,"DunkinDonuts"
"happened",2,"DunkinDonuts"
"happyhanukkah",2,"DunkinDonuts"
"hardrockhotellv",2,"DunkinDonuts"
"hashbrowns",2,"DunkinDonuts"
"hazelnut",2,"DunkinDonuts"
"headed",2,"DunkinDonuts"
"heck",2,"DunkinDonuts"
"hit",2,"DunkinDonuts"
"hoagie",2,"DunkinDonuts"
"hoagies",2,"DunkinDonuts"
"holes",2,"DunkinDonuts"
"hours",2,"DunkinDonuts"
"house",2,"DunkinDonuts"
"iamdaskapital",2,"DunkinDonuts"
"idk",2,"DunkinDonuts"
"iheartradio",2,"DunkinDonuts"
"ip",2,"DunkinDonuts"
"items",2,"DunkinDonuts"
"jackmjenkins",2,"DunkinDonuts"
"jaw",2,"DunkinDonuts"
"jersey",2,"DunkinDonuts"
"jfk",2,"DunkinDonuts"
"jimmyandshelly",2,"DunkinDonuts"
"jonahnro",2,"DunkinDonuts"
"jump",2,"DunkinDonuts"
"jumped",2,"DunkinDonuts"
"keeping",2,"DunkinDonuts"
"kimwebstersa",2,"DunkinDonuts"
"kups",2,"DunkinDonuts"
"lacroixwater",2,"DunkinDonuts"
"lady",2,"DunkinDonuts"
"las",2,"DunkinDonuts"
"late",2,"DunkinDonuts"
"leaving",2,"DunkinDonuts"
"line",2,"DunkinDonuts"
"link",2,"DunkinDonuts"
"listening",2,"DunkinDonuts"
"lists",2,"DunkinDonuts"
"littleton",2,"DunkinDonuts"
"lived",2,"DunkinDonuts"
"living",2,"DunkinDonuts"
"lmao",2,"DunkinDonuts"
"lo",2,"DunkinDonuts"
"loaded",2,"DunkinDonuts"
"lost",2,"DunkinDonuts"
"lot",2,"DunkinDonuts"
"loves",2,"DunkinDonuts"
"machine",2,"DunkinDonuts"
"marketbasket",2,"DunkinDonuts"
"marshmellomusic",2,"DunkinDonuts"
"mascot",2,"DunkinDonuts"
"mashups",2,"DunkinDonuts"
"med",2,"DunkinDonuts"
"meetings",2,"DunkinDonuts"
"mention",2,"DunkinDonuts"
"menu",2,"DunkinDonuts"
"mess",2,"DunkinDonuts"
"met",2,"DunkinDonuts"
"middle",2,"DunkinDonuts"
"mitchellvii",2,"DunkinDonuts"
"mmm",2,"DunkinDonuts"
"moment",2,"DunkinDonuts"
"morn",2,"DunkinDonuts"
"morningbrew",2,"DunkinDonuts"
"mornings",2,"DunkinDonuts"
"muffin",2,"DunkinDonuts"
"mypov",2,"DunkinDonuts"
"mysweetsavings",2,"DunkinDonuts"
"nc",2,"DunkinDonuts"
"network",2,"DunkinDonuts"
"nextgenpf",2,"DunkinDonuts"
"nhlflyers",2,"DunkinDonuts"
